,Dan,Lokacija,Mesec,SifraCesteNaselja,SifraOdsekaUlice,StanjePrometa,StanjeVozisca,UraPN,VNaselju,VremenskeOkoliscine,VrstaCeste,VrstaVozisca
429,,,,658,1019,,,,,,,
430,,,,613,1021,,,,,,,
431,,,,682,1022,,,,,,,
432,,,,451,1024,,,,,,,
433,,,,922,1025,,,,,,,
434,,,,652,1026,,,,,,,
435,,,,695,1027,,,,,,,
436,,,,941,1028,,,,,,,
437,,,,677,1029,,,,,,,
438,,,,676,1031,,,,,,,
439,,,,678,1033,,,,,,,
440,,,,671,1034,,,,,,,
441,,,,693,1035,,,,,,,
442,,,,744,1036,,,,,,,
443,,,,748,1037,,,,,,,
444,,,,664,1038,,,,,,,
445,,,,421,1040,,,,,,,
446,,,,659,1041,,,,,,,
447,,,,702,1042,,,,,,,
448,,,,747,1043,,,,,,,
449,,,,714,1045,,,,,,,
450,,,,648,1046,,,,,,,
451,,,,649,1047,,,,,,,
452,,,,912,1048,,,,,,,
453,,,,924,1049,,,,,,,
454,,,,3601,1050,,,,,,,
455,,,,917,1055,,,,,,,
456,,,,3604,1057,,,,,,,
457,,,,654,1058,,,,,,,
458,,,,918,1059,,,,,,,
459,,,,656,1061,,,,,,,
460,,,,624,1062,,,,,,,
461,,,,626,1064,,,,,,,
462,,,,3803,1066,,,,,,,
463,,,,681,1067,,,,,,,
464,,,,730,1071,,,,,,,
465,,,,749,1072,,,,,,,
466,,,,745,1073,,,,,,,
467,,,,734,1075,,,,,,,
468,,,,729,1076,,,,,,,
469,,,,921,1077,,,,,,,
470,,,,713,1078,,,,,,,
471,,,,663,1079,,,,,,,
472,,,,662,1081,,,,,,,
473,,,,697,1083,,,,,,,
474,,,,717,1084,,,,,,,
475,,,,719,1085,,,,,,,
476,,,,716,1087,,,,,,,
477,,,,715,1088,,,,,,,
478,,,,725,1089,,,,,,,
479,,,,605,1090,,,,,,,
480,,,,607,1092,,,,,,,
481,,,,615,1093,,,,,,,
482,,,,733,1096,,,,,,,
483,,,,920,1098,,,,,,,
484,,,,913,1099,,,,,,,
485,,,,692,1101,,,,,,,
486,,,,691,1104,,,,,,,
487,,,,689,1105,,,,,,,
488,,,,706,1106,,,,,,,
489,,,,703,1107,,,,,,,
490,,,,655,1108,,,,,,,
491,,,,738,1109,,,,,,,
492,,,,618,1110,,,,,,,
493,,,,620,1111,,,,,,,
494,,,,934,1112,,,,,,,
495,,,,622,1113,,,,,,,
496,,,,696,1114,,,,,,,
497,,,,932,1117,,,,,,,
498,,,,752,1118,,,,,,,
499,,,,687,1119,,,,,,,
500,,,,684,1120,,,,,,,
501,,,,685,1121,,,,,,,
502,,,,750,1122,,,,,,,
503,,,,666,1124,,,,,,,
504,,,,731,1126,,,,,,,
505,,,,709,1128,,,,,,,
506,,,,937,1129,,,,,,,
507,,,,707,1131,,,,,,,
508,,,,711,1132,,,,,,,
509,,,,737,1133,,,,,,,
510,,,,935,1134,,,,,,,
511,,,,19513,1135,,,,,,,
512,,,,32010,1136,,,,,,,
513,,,,32120,1137,,,,,,,
514,,,,39617,1138,,,,,,,
515,,,,46404,1139,,,,,,,
516,,,,46407,1140,,,,,,,
517,,,,49047,1141,,,,,,,
518,,,,53370,1142,,,,,,,
519,,,,53844,1143,,,,,,,
520,,,,90750,1145,,,,,,,
521,,,,90752,1146,,,,,,,
522,,,,90753,1147,,,,,,,
523,,,,91017,1148,,,,,,,
524,,,,91018,1156,,,,,,,
525,,,,91019,1157,,,,,,,
526,,,,91028,1158,,,,,,,
527,,,,91382,1159,,,,,,,
528,,,,92297,1160,,,,,,,
529,,,,92311,1162,,,,,,,
530,,,,92319,1163,,,,,,,
531,,,,92407,1166,,,,,,,
532,,,,92412,1169,,,,,,,
533,,,,92414,1170,,,,,,,
534,,,,92507,1172,,,,,,,
535,,,,92508,1173,,,,,,,
536,,,,92521,1174,,,,,,,
537,,,,93301,1175,,,,,,,
538,,,,93303,1176,,,,,,,
539,,,,93308,1177,,,,,,,
540,,,,93309,1178,,,,,,,
541,,,,93641,1179,,,,,,,
542,,,,93703,1180,,,,,,,
543,,,,95710,1181,,,,,,,
544,,,,95711,1182,,,,,,,
545,,,,95771,1183,,,,,,,
546,,,,96005,1184,,,,,,,
547,,,,96100,1185,,,,,,,
548,,,,96408,1186,,,,,,,
549,,,,96410,1189,,,,,,,
550,,,,96898,1190,,,,,,,
551,,,,97347,1191,,,,,,,
552,,,,97527,1192,,,,,,,
553,,,,98704,1193,,,,,,,
554,,,,98805,1195,,,,,,,
555,,,,98809,1197,,,,,,,
556,,,,98811,1198,,,,,,,
557,,,,99068,1199,,,,,,,
558,,,,99403,1200,,,,,,,
559,,,,99578,1201,,,,,,,
560,,,,99618,1202,,,,,,,
561,,,,99621,1203,,,,,,,
562,,,,99639,1204,,,,,,,
563,,,,99674,1205,,,,,,,
564,,,,99675,1206,,,,,,,
565,,,,98702,1207,,,,,,,
566,,,,99902,1208,,,,,,,
567,,,,16,1210,,,,,,,
568,,,,1002,1211,,,,,,,
569,,,,1005,1212,,,,,,,
570,,,,1006,1213,,,,,,,
571,,,,1011,1214,,,,,,,
572,,,,1014,1215,,,,,,,
573,,,,1018,1217,,,,,,,
574,,,,1026,1218,,,,,,,
575,,,,1033,1219,,,,,,,
576,,,,1038,1220,,,,,,,
577,,,,1045,1222,,,,,,,
578,,,,1061,1223,,,,,,,
579,,,,2002,1224,,,,,,,
580,,,,2016,1225,,,,,,,
581,,,,2020,1227,,,,,,,
582,,,,2021,1230,,,,,,,
583,,,,2022,1231,,,,,,,
584,,,,2026,1232,,,,,,,
585,,,,2028,1233,,,,,,,
586,,,,2033,1234,,,,,,,
587,,,,2037,1235,,,,,,,
588,,,,2041,1236,,,,,,,
589,,,,2050,1237,,,,,,,
590,,,,2058,1238,,,,,,,
591,,,,2061,1239,,,,,,,
592,,,,2067,1240,,,,,,,
593,,,,2068,1241,,,,,,,
594,,,,2069,1242,,,,,,,
595,,,,2076,1243,,,,,,,
596,,,,2078,1245,,,,,,,
597,,,,2087,1246,,,,,,,
598,,,,2090,1247,,,,,,,
599,,,,2092,1248,,,,,,,
600,,,,2094,1249,,,,,,,
601,,,,2100,1254,,,,,,,
602,,,,2106,1255,,,,,,,
603,,,,2113,1256,,,,,,,
604,,,,3001,1257,,,,,,,
605,,,,3009,1258,,,,,,,
606,,,,3010,1259,,,,,,,
607,,,,3015,1260,,,,,,,
608,,,,3016,1261,,,,,,,
609,,,,3017,1262,,,,,,,
610,,,,3019,1263,,,,,,,
611,,,,3021,1264,,,,,,,
612,,,,3026,1265,,,,,,,
613,,,,3027,1266,,,,,,,
614,,,,3028,1267,,,,,,,
615,,,,3033,1268,,,,,,,
616,,,,3036,1269,,,,,,,
617,,,,3038,1270,,,,,,,
618,,,,3042,1272,,,,,,,
619,,,,3043,1273,,,,,,,
620,,,,3044,1274,,,,,,,
621,,,,3045,1275,,,,,,,
622,,,,3047,1276,,,,,,,
623,,,,3050,1277,,,,,,,
624,,,,3052,1278,,,,,,,
625,,,,3053,1279,,,,,,,
